Information,file_path,Layer,Short_Name,Label,Group,Sensitive,Source,Merge
Constructed Drains,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/Constructed_Drain/Constructed_Drain.shp,,Drains,Infrastructure,No,https://geohub.lio.gov.on.ca/datasets/ontarioca11::constructed-drain/explore?location=45.815643%2C-84.512138%2C5,,
Nearby Watercourses,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/Clipped_to_CC_region/OHN_Watercourse_CCRegion.gpkg,OHN_Watercourse_CCRegion,OHN_watercourse,Abiotic,No ,https://geohub.lio.gov.on.ca/datasets/mnrf::ontario-hydro-network-ohn-watercourse/about,,
Ontario Parcel Fabric: Assessment parcel,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/Ontario_Parcel_July2025/OntarioParcel_RestrictedUse/ASSESSMENT_PARCEL.shp,,Assessment_parcel,Administrative,Yes,https://data.ontario.ca/dataset/ontario-land-parcels,,
Ontario Parcel Fabric: Ownership,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/Ontario_Parcel_July2025/OntarioParcel_RestrictedUse/OWNERSHIP_PARCEL.shp,,Parcel_ownership,Administrative,Yes,,,
Alvar,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/Alvar/Shapefiles_ForCouchichingCons/Alvar_By_Year.shp,,alvar,Biotic,Yes,NCC,,
Loggerhead Nests and Sightings,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/Loggerhead Shrike/Carden_Nests_and_Sightings_merged.shp,,Shrike_Nests_Sights,Biotic,Yes,?,,
NatureCounts,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/CouchichingData/NatureCounts/naturecounts_SAR_records.gpkg,records,NatCou,Biotic,Yes,https://naturecounts.ca/nc/default/main.jsp,,
Provincially Tracked Plant Community Occurrences,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/NHIC_species_SAR/licensed_data/PTSpecies_medium_sensitive.gdb,PTPlantCommunity_Occurrences,PTPlantCom,Biotic,Yes,https://www.ontario.ca/page/get-natural-heritage-information,,
Provincially Tracked Species Observations,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/NHIC_species_SAR/licensed_data/PTSpecies_medium_sensitive.gdb,PTSpecies_Observations,PTSpp_high,Biotic,Yes,https://www.ontario.ca/page/get-natural-heritage-information,,
Provincially Tracked Species Observations,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/NHIC_species_SAR/licensed_data/PTSpecies_medium_sensitive.gdb,PTSpecies_Observations,PTSpp_low,Biotic,Yes,https://www.ontario.ca/page/get-natural-heritage-information,,
Provincially Tracked Species Observations,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/NHIC_species_SAR/licensed_data/PTSpecies_medium_sensitive.gdb,PTSpecies_Observations,PTSpp_med,Biotic,Yes,https://www.ontario.ca/page/get-natural-heritage-information,,
Provincially Tracked Wildlife Concentration Areas,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/Baselayers/NHIC_species_SAR/licensed_data/PTSpecies_medium_sensitive.gdb,PTWildlifeConcAreas_Observations,PTWild,Biotic,Yes,https://www.ontario.ca/page/get-natural-heritage-information,,
WPC Shrike Data 2010-2024,C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISDatabase/CouchichingData/Species_Data.gdb,WPC_ShrikeData_2010to2024,WPC_Shrike,Biotic,Yes,WPC,,
"Locations of geographic features and unincorporated places that have been officially named, or are being considered for official naming",C:/Users/ConservAnalyst/Documents/ConservationAnalyst/GISProjects/Baselayer Shapefiles/GeographicNames_Lio_2020/Non_Sensitive.gdb,,Geo_Names,Administrative,No,https://geohub.lio.gov.on.ca/datasets/lio::geographic-names-ontario/about,,
